LocalityID	CollectorName	LastNameGuess	VerbatimCollectors	FieldNo	iYear	VerbatimDate
16224	R.D. Suttkus	Suttkus	"Suttkus, Clemmer, Jones & Fisher"	RDS 6232	1976	30/8/1976
16224	Clemmer	Clemmer	"Suttkus, Clemmer, Jones & Fisher"	RDS 6232	1976	30/8/1976
16224	Jones	Jones	"Suttkus, Clemmer, Jones & Fisher"	RDS 6232	1976	30/8/1976
16224	Fisher	Fisher	"Suttkus, Clemmer, Jones & Fisher"	RDS 6232	1976	30/8/1976
16225	R.D. Suttkus	Suttkus	"Suttkus, Clemmer, Jones & Fisher"	RDS 6233	1976	30/8/1976
16225	Clemmer	Clemmer	"Suttkus, Clemmer, Jones & Fisher"	RDS 6233	1976	30/8/1976
16225	Jones	Jones	"Suttkus, Clemmer, Jones & Fisher"	RDS 6233	1976	30/8/1976
16225	Fisher	Fisher	"Suttkus, Clemmer, Jones & Fisher"	RDS 6233	1976	30/8/1976
16226	R.D. Suttkus	Suttkus	"Suttkus, Jones, Clemmer & Fisher"	RDS 6235	1976	30/8/1976
16226	Jones	Jones	"Suttkus, Jones, Clemmer & Fisher"	RDS 6235	1976	30/8/1976
16226	Clemmer	Clemmer	"Suttkus, Jones, Clemmer & Fisher"	RDS 6235	1976	30/8/1976
16226	Fisher	Fisher	"Suttkus, Jones, Clemmer & Fisher"	RDS 6235	1976	30/8/1976
16227	R.D. Suttkus	Suttkus	"Suttkus, Clemmer & Jones"	RDS 6237	1976	3/9/1976
16227	Clemmer	Clemmer	"Suttkus, Clemmer & Jones"	RDS 6237	1976	3/9/1976
16227	Jones	Jones	"Suttkus, Clemmer & Jones"	RDS 6237	1976	3/9/1976
16228	R.D. Suttkus	Suttkus	"Suttkus, Clemmer, Coley & Smith"	RDS 6238	1976	3/9/1976
16228	Clemmer	Clemmer	"Suttkus, Clemmer, Coley & Smith"	RDS 6238	1976	3/9/1976
16228	Coley	Coley	"Suttkus, Clemmer, Coley & Smith"	RDS 6238	1976	3/9/1976
16228	Smith	Smith	"Suttkus, Clemmer, Coley & Smith"	RDS 6238	1976	3/9/1976
16229	R.D. Suttkus	Suttkus	"Suttkus, Clemmer, Jones & Fisher"	RDS 6240	1976	4/9/1976
16229	Clemmer	Clemmer	"Suttkus, Clemmer, Jones & Fisher"	RDS 6240	1976	4/9/1976
16229	Jones	Jones	"Suttkus, Clemmer, Jones & Fisher"	RDS 6240	1976	4/9/1976
16229	Fisher	Fisher	"Suttkus, Clemmer, Jones & Fisher"	RDS 6240	1976	4/9/1976
16230	R.D. Suttkus	Suttkus	"Suttkus, Clemmer & Jones"	RDS 6241	1976	5/9/1976
16230	Clemmer	Clemmer	"Suttkus, Clemmer & Jones"	RDS 6241	1976	5/9/1976
16230	Jones	Jones	"Suttkus, Clemmer & Jones"	RDS 6241	1976	5/9/1976
16231	R.D. Suttkus	Suttkus	"Suttkus, Sorensen & Heins"	RDS 6242	1976	21 September 1976
16231	Sorensen	Sorensen	"Suttkus, Sorensen & Heins"	RDS 6242	1976	21 September 1976
16231	Heins	Heins	"Suttkus, Sorensen & Heins"	RDS 6242	1976	21 September 1976
16232	R.D. Suttkus	Suttkus	"Suttkus, Sorensen & Heins"	RDS 6243	1976	22 September 1976
16232	Sorensen	Sorensen	"Suttkus, Sorensen & Heins"	RDS 6243	1976	22 September 1976
16232	Heins	Heins	"Suttkus, Sorensen & Heins"	RDS 6243	1976	22 September 1976
16233	R.D. Suttkus	Suttkus	"Suttkus, Sorensen & Heins"	RDS 6244	1976	22 September 1976
16233	Sorensen	Sorensen	"Suttkus, Sorensen & Heins"	RDS 6244	1976	22 September 1976
16233	Heins	Heins	"Suttkus, Sorensen & Heins"	RDS 6244	1976	22 September 1976
16234	R.D. Suttkus	Suttkus	"Suttkus, Sorensen & Heins"	RDS 6245	1976	22 September 1976
16234	Sorensen	Sorensen	"Suttkus, Sorensen & Heins"	RDS 6245	1976	22 September 1976
16234	Heins	Heins	"Suttkus, Sorensen & Heins"	RDS 6245	1976	22 September 1976
16235	R.D. Suttkus	Suttkus	"Suttkus, Sorensen & Heins"	RDS 6246	1976	22 September 1976
16235	Sorensen	Sorensen	"Suttkus, Sorensen & Heins"	RDS 6246	1976	22 September 1976
16235	Heins	Heins	"Suttkus, Sorensen & Heins"	RDS 6246	1976	22 September 1976
16236	R.D. Suttkus	Suttkus	"Suttkus, Sorensen & Heins"	RDS 6247	1976	22 September 1976
16236	Sorensen	Sorensen	"Suttkus, Sorensen & Heins"	RDS 6247	1976	22 September 1976
16236	Heins	Heins	"Suttkus, Sorensen & Heins"	RDS 6247	1976	22 September 1976
16237	R.D. Suttkus	Suttkus	"Suttkus, Sorensen & Heins"	RDS 6248	1976	22 September 1976
16237	Sorensen	Sorensen	"Suttkus, Sorensen & Heins"	RDS 6248	1976	22 September 1976
16237	Heins	Heins	"Suttkus, Sorensen & Heins"	RDS 6248	1976	22 September 1976
16238	R.D. Suttkus	Suttkus	"Suttkus, Sorensen & Heins"	RDS 6249	1976	22 September 1976
16238	Sorensen	Sorensen	"Suttkus, Sorensen & Heins"	RDS 6249	1976	22 September 1976
